HASH_IMSI,MCC,MNC,Timestamp,Longitude,Latitude,Ec/No,RSCP,Static/Mobile,Indoor/Outdoor,HASH_IMEI,IMEI_TAC,RncId,CellId,LAC,DL UARFCN
97d9396ec84287daabfa7f8c2618436e6f8f405dc6d15bdfeba1caf4e6cd93c1,213,3,20160824220006,1.53606761,42.5075436,-8.25,-91.5,0,0,,,300,91,21,10565
97d9396ec84287daabfa7f8c2618436e6f8f405dc6d15bdfeba1caf4e6cd93c1,213,3,20160824220008,1.53572248,42.5073586,-9.25,-92.5,0,0,,,300,91,21,10565
97d9396ec84287daabfa7f8c2618436e6f8f405dc6d15bdfeba1caf4e6cd93c1,213,3,20160824220010,1.53567233,42.5073389,-9.25,-92.5,0,0,,,300,91,21,10565
6502a203f1b80e21198badae08a0db857cc8f63df75feeeac036d5c7c59855cc,213,3,20160824220010,1.52995842,42.5104646,-9.25,-92.5,0,0,,,300,507,21,10590
6502a203f1b80e21198badae08a0db857cc8f63df75feeeac036d5c7c59855cc,213,3,20160824220012,1.53012379,42.5103972,-9.25,-92.5,0,0,,,300,507,21,10590
941e2fea52a555658c14560b09783c8169322b46de0783d64c85dd8e0aac36c7,213,3,20160824220011,1.51659602,42.5039255,-8.75,-84.5,0,0,,,300,441,21,10565
2e99f5d6f31c21e318019d1f511174d207efd9f3af3e1758a2f62d9b8f6a7eed,213,3,20160824220023,1.53658482,42.510065,-5.75,-73.5,0,0,,,300,435,21,10590
2e99f5d6f31c21e318019d1f511174d207efd9f3af3e1758a2f62d9b8f6a7eed,213,3,20160824220025,1.53645162,42.5099414,-5.75,-71.5,0,0,,,300,435,21,10590
2e99f5d6f31c21e318019d1f511174d207efd9f3af3e1758a2f62d9b8f6a7eed,213,3,20160824220027,1.53645162,42.5099414,-5.75,-71.5,0,0,,,300,435,21,10590
404d5aa6503b41d47543edf6be25e508bd6c2ef46d0e158d5830302e7a7f5872,214,7,20160824220018,1.53492009,42.5487017,-5.75,-98.5,0,0,,,300,116,22,10590
3087ecde5e7e825f41827bb53e7aaccbc517673303acb41db8fa22a92ccc9772,213,3,20160824220042,1.53641736,42.5095414,-6.25,-80.5,0,0,,,300,506,21,10590
3087ecde5e7e825f41827bb53e7aaccbc517673303acb41db8fa22a92ccc9772,213,3,20160824220044,1.53641736,42.5095414,-6.25,-80.5,0,0,,,300,506,21,10590
6502a203f1b80e21198badae08a0db857cc8f63df75feeeac036d5c7c59855cc,213,3,20160824220059,1.53046904,42.5110875,-5.75,-89.5,0,0,,,300,507,21,10590
141ae951ffdf8225317a1e249a359699f11716deba0b7d1928d693cb6a5c3d92,213,3,20160824220002,1.5117422,42.5068114,-7.75,-79.5,0,0,,,300,445,21,10590
141ae951ffdf8225317a1e249a359699f11716deba0b7d1928d693cb6a5c3d92,213,3,20160824220004,1.5117422,42.5068114,-7.75,-79.5,0,0,,,300,445,21,10590
cd24c85e12e00f8eb53a66b6641a03d82e5a7447bdcb087c44bc15b665aa570b,213,3,20160824220000,1.52046592,42.5300489,-4.75,-92.5,0,0,,,300,156,22,10590
cd24c85e12e00f8eb53a66b6641a03d82e5a7447bdcb087c44bc15b665aa570b,213,3,20160824220002,1.5207455,42.5301801,-3.25,-82.5,0,0,,,300,156,22,10590
cd24c85e12e00f8eb53a66b6641a03d82e5a7447bdcb087c44bc15b665aa570b,213,3,20160824220004,1.5207455,42.5301801,-3.25,-82.5,0,0,,,300,156,22,10590
799a68121fdb651b829f6ae36bab2e94d3127a0ff9fc7b7ad67b9f2c39adfec7,213,3,20160824220001,1.50993452,42.5074952,-6.25,-97.5,0,0,,,300,37,21,10590
799a68121fdb651b829f6ae36bab2e94d3127a0ff9fc7b7ad67b9f2c39adfec7,213,3,20160824220003,1.50670457,42.5042978,-6.25,-97.5,0,0,,,300,37,21,10590
194847f579bf1a4f376af0fcb60e7537948c363036f91f5c2d1f90d2e31f4853,213,3,20160824220019,1.53193829,42.5092056,-5.25,-60.5,0,0,c26e8415ba7bbe869bf1a4671136ce3809a9ddcd264b8a9c97f1c98990bbe3ba,35569507,300,9430,21,2988
06626df0c66155b2d1c40f45231ae03f25ef249664d4d5c2cc9ea2590602700f,213,3,20160824220003,1.53200853,42.5108868,-8.75,-88.5,0,0,,,300,47,21,10590
06626df0c66155b2d1c40f45231ae03f25ef249664d4d5c2cc9ea2590602700f,213,3,20160824220005,1.53200853,42.5108868,-8.75,-88.5,0,0,,,300,47,21,10590
74e1ef2a474c8be669f5fda1eef89705f57862afcfd6e6145ca69717c34af386,213,3,20160824220001,1.52493826,42.529857,-5.25,-95.5,0,0,,,300,155,22,10590
74e1ef2a474c8be669f5fda1eef89705f57862afcfd6e6145ca69717c34af386,213,3,20160824220003,1.52493826,42.529857,-5.25,-95.5,0,0,,,300,155,22,10590
629f083255cd791f30ac1f93a2c1efab7c0d08a418fc34c817d7b313e2bf2540,208,15,20160824220011,1.65810514,42.5833959,-11.25,-111.5,0,0,,,300,335,23,10590
a61373d31d7ed303202069c83ed8caae1d3a7139335273db39aa1cc8ef627898,213,3,20160824220019,1.52878041,42.5063207,-7.25,-90.5,0,0,d6eb349e6139829cc5c4985c6eaba2d83cd436ed5f66338aea1663f72db482ec,35486006,300,436,21,10590
802a9f11099dfec412b724df22f14d65ddec1a28be78804475f5794aa54650f4,213,3,20160824220135,1.49927872,42.4954328,-6.25,-79.5,0,0,,,300,1140,21,10565
802a9f11099dfec412b724df22f14d65ddec1a28be78804475f5794aa54650f4,213,3,20160824220137,1.49927872,42.4954328,-6.25,-79.5,0,0,,,300,1140,21,10565
51e20b4ee7e10ff399e670caaf507f24f87762f0e37f39fcaa5ff4e1201c3a1b,213,3,20160824220026,1.53181199,42.5096975,-9.25,-83.5,0,0,,,300,507,21,10590
9b7ef88f289c23e04f876dcc9b4c83f5acd5d44ea80069f99d708807a232ba03,214,3,20160824220016,1.59515407,42.5603571,-6.25,-81.5,0,0,81ce7de11cc8ed93698469140620eeb41e81b681cade215112be56e39fbb86aa,86094103,300,411,23,10565
ac14e16c859b7ba350afe2d2c6190c69c36d86555147f97d15c179663c2ac0b6,213,3,20160824220005,1.58414621,42.5360048,-8.75,-82.5,0,0,,,300,241,21,10565
ac14e16c859b7ba350afe2d2c6190c69c36d86555147f97d15c179663c2ac0b6,213,3,20160824220007,1.58414621,42.5360048,-8.75,-82.5,0,0,,,300,241,21,10565
405cc0fa1f046f894e9f50cc8e624f3cd8e9e4fc5861bf2d6cc60529f30bc437,213,3,20160824220017,1.52047576,42.509305,-6.25,-88.5,0,0,,,300,56,21,10590
405cc0fa1f046f894e9f50cc8e624f3cd8e9e4fc5861bf2d6cc60529f30bc437,213,3,20160824220019,1.51938522,42.5091333,-6.75,-87.5,0,0,,,300,56,21,10590
405cc0fa1f046f894e9f50cc8e624f3cd8e9e4fc5861bf2d6cc60529f30bc437,213,3,20160824220021,1.51942236,42.5091221,-6.75,-87.5,0,0,,,300,56,21,10590
fc1409a9ef896908aedb93b9128c48bbb0178dfe9c9b69b586d52664f0f8a74c,213,3,20160824220129,1.55276706,42.5153834,-11.25,-104.5,0,0,,,300,471,23,10565
fc1409a9ef896908aedb93b9128c48bbb0178dfe9c9b69b586d52664f0f8a74c,213,3,20160824220135,1.534717,42.5115582,-10.75,-107.5,0,0,,,300,1171,21,10565
fc1409a9ef896908aedb93b9128c48bbb0178dfe9c9b69b586d52664f0f8a74c,213,3,20160824220137,1.53504154,42.5113637,-10.75,-107.5,0,0,,,300,1171,21,10565
d30e3347ee298ea2c8b8c58cec823d255ab0b4f7064ff177b8c4eadb8765ad53,213,3,20160824220028,1.66548116,42.5839598,-7.25,-104.5,0,0,,,300,335,23,10590
d30e3347ee298ea2c8b8c58cec823d255ab0b4f7064ff177b8c4eadb8765ad53,213,3,20160824220030,1.66548116,42.5839598,-7.25,-104.5,0,0,,,300,335,23,10590
dd5d2aa85cde7a880e4e8fa3cd2d618dd3c1bb92e41692e5f364f44f9c90a994,213,3,20160824220015,1.57892015,42.5343271,-5.25,-67.5,0,0,0af56cf615271ae460fb60c1ce23d8eb6b6968c0a753713d96ff3ace18cd7941,35354407,300,66,23,10590
dd5d2aa85cde7a880e4e8fa3cd2d618dd3c1bb92e41692e5f364f44f9c90a994,213,3,20160824220017,1.57892015,42.5343271,-5.25,-67.5,0,0,0af56cf615271ae460fb60c1ce23d8eb6b6968c0a753713d96ff3ace18cd7941,35354407,300,66,23,10590
2ce0d295bc6402527559ccd00ff1ac456d6c281e42c6977d286bfe05df2a3daf,213,3,20160824220002,1.51147665,42.5470138,-5.75,-93.5,0,0,a33048b23a2dbddff66d9a8bcbc8f4015dd572c1307b59913e31c24d84f5cd02,35359607,300,105,22,10590
2ce0d295bc6402527559ccd00ff1ac456d6c281e42c6977d286bfe05df2a3daf,213,3,20160824220004,1.51147665,42.5470138,-5.75,-93.5,0,0,a33048b23a2dbddff66d9a8bcbc8f4015dd572c1307b59913e31c24d84f5cd02,35359607,300,105,22,10590
8bf34f401fa3bd388047c14cc069c1af70288eb23b1ca64ee9748253e0450145,213,3,20160824220037,1.52454712,42.502755,-5.75,-84.5,0,0,,,300,456,21,10590
8bf34f401fa3bd388047c14cc069c1af70288eb23b1ca64ee9748253e0450145,213,3,20160824220039,1.52454712,42.502755,-5.75,-84.5,0,0,,,300,456,21,10590
93d7e15d6447a22688962bf5b7e8bec773104c6b17eab62a56d128e759b72998,213,3,20160824220035,1.52440402,42.5162088,-5.25,-92.5,0,0,e224686d1946be5b9334b3db067b5f1108cf8de0219cc18020d9bc0758669aad,35462807,300,9040,21,2988
93d7e15d6447a22688962bf5b7e8bec773104c6b17eab62a56d128e759b72998,213,3,20160824220037,1.52588535,42.5181855,-5.25,-92.5,0,0,e224686d1946be5b9334b3db067b5f1108cf8de0219cc18020d9bc0758669aad,35462807,300,9040,21,2988
075c23b9c238516c44d8ce653d07e43dbf41f792577c89d7c63f24ab871bfdc0,213,3,20160824220044,1.57705795,42.5407481,-7.25,-82.5,0,0,,,300,62,23,10565
075c23b9c238516c44d8ce653d07e43dbf41f792577c89d7c63f24ab871bfdc0,213,3,20160824220046,1.57705795,42.5407481,-7.25,-82.5,0,0,,,300,62,23,10565
721d332af7eb9650047758e8b16e1035b336c754cf6809583dc0af7093b1fafd,213,3,20160824220004,1.53364426,42.509731,-9.75,-81.5,0,0,,,300,506,21,10590
721d332af7eb9650047758e8b16e1035b336c754cf6809583dc0af7093b1fafd,213,3,20160824220006,1.5336531,42.5097596,-5.25,-71.5,0,0,,,300,506,21,10590
721d332af7eb9650047758e8b16e1035b336c754cf6809583dc0af7093b1fafd,213,3,20160824220008,1.53370199,42.5097964,-8.25,-76.5,0,0,,,300,506,21,10590
721d332af7eb9650047758e8b16e1035b336c754cf6809583dc0af7093b1fafd,213,3,20160824220010,1.53398631,42.5098932,-6.75,-68.5,0,0,,,300,506,21,10590
721d332af7eb9650047758e8b16e1035b336c754cf6809583dc0af7093b1fafd,213,3,20160824220012,1.53517609,42.5103019,-6.75,-68.5,0,0,,,300,506,21,10590
677875607bcdab0c838bb1b6a010aa14a98061c63c8cc3f114e7dcc2302ada85,213,3,20160824220000,1.51891234,42.4982281,-10.75,-101.5,0,0,,,300,19170,21,2988
677875607bcdab0c838bb1b6a010aa14a98061c63c8cc3f114e7dcc2302ada85,213,3,20160824220002,1.51947766,42.4979747,-9.25,-101.5,0,0,,,300,9051,21,2988
677875607bcdab0c838bb1b6a010aa14a98061c63c8cc3f114e7dcc2302ada85,213,3,20160824220004,1.51973801,42.4979133,-9.25,-101.5,0,0,,,300,9051,21,2988
5fa0dbfcc36e1054a8802b12aa6559f58aaa14c41722e177d964447503704428,213,3,20160824220155,1.53748527,42.5563028,-3.75,-84.5,0,0,f2385531b622d355dbe5ac071ac2e5be7e9f636cb89a3dca867dd8ea23514660,35656507,300,9111,22,2988
6b7c172af2a6b41bc1161e0af2702d39c11a423eba4c37e2b6edb2f5b118e923,213,3,20160824220000,1.5238804,42.533285,-4.75,-97.5,0,0,8cf6b41a3edcc148221a147041dab9e586cd7b6a3a877604e36a0a00a6052d2f,35308905,300,152,22,10565
0190de61290292ec8fda253a1d655119725b6f8cd1555fcdfd1f5d6013af198a,213,3,20160824220146,1.57763931,42.535743,-7.75,-93.5,0,0,,,300,62,23,10565
0190de61290292ec8fda253a1d655119725b6f8cd1555fcdfd1f5d6013af198a,213,3,20160824220148,1.57763931,42.535743,-7.75,-93.5,0,0,,,300,62,23,10565
0190de61290292ec8fda253a1d655119725b6f8cd1555fcdfd1f5d6013af198a,213,3,20160824220150,1.57752462,42.5358072,-5.25,-87.5,0,0,,,300,62,23,10565
0190de61290292ec8fda253a1d655119725b6f8cd1555fcdfd1f5d6013af198a,213,3,20160824220152,1.57721208,42.5359821,-5.25,-87.5,0,0,,,300,62,23,10565
29e67bc27b20419c4f28f2eb99463a53bc25219150e6c52f8f4833661ae400bd,214,3,20160824220005,1.54107907,42.5078002,-12.75,-113.5,0,0,446309ec9bfbcd5d7634defea8f54bb58aee3832dd23f7c9c0a9f3ca3c5d8172,86584602,300,505,21,10590
29e67bc27b20419c4f28f2eb99463a53bc25219150e6c52f8f4833661ae400bd,214,3,20160824220007,1.54107072,42.5078035,-13.25,-111.5,0,0,446309ec9bfbcd5d7634defea8f54bb58aee3832dd23f7c9c0a9f3ca3c5d8172,86584602,300,505,21,10590
29e67bc27b20419c4f28f2eb99463a53bc25219150e6c52f8f4833661ae400bd,214,3,20160824220009,1.5410749,42.5078145,-13.25,-111.5,0,0,446309ec9bfbcd5d7634defea8f54bb58aee3832dd23f7c9c0a9f3ca3c5d8172,86584602,300,505,21,10590
38add6991f46550b03927843fa44554814cdf81b11f9a00c5aa61bcc70117907,213,3,20160824220004,1.52051397,42.5029375,-11.75,-101.5,0,0,,,300,456,21,10590
38add6991f46550b03927843fa44554814cdf81b11f9a00c5aa61bcc70117907,213,3,20160824220006,1.52075329,42.5029667,-10.75,-102.5,0,0,,,300,456,21,10590
38add6991f46550b03927843fa44554814cdf81b11f9a00c5aa61bcc70117907,213,3,20160824220008,1.52079519,42.5029881,-10.75,-102.5,0,0,,,300,456,21,10590
38add6991f46550b03927843fa44554814cdf81b11f9a00c5aa61bcc70117907,213,3,20160824220010,1.52111638,42.5030712,-11.25,-102.5,0,0,,,300,456,21,10590
38add6991f46550b03927843fa44554814cdf81b11f9a00c5aa61bcc70117907,213,3,20160824220012,1.52154638,42.5031746,-11.25,-102.5,0,0,,,300,456,21,10590
14e78cdd22530b92c5158b0600f0654af22eac0172c676fb32ced7adbcb25d7a,213,3,20160824220034,1.60427552,42.5712762,-8.75,-105.5,2,2,,,300,70,23,10565
14e78cdd22530b92c5158b0600f0654af22eac0172c676fb32ced7adbcb25d7a,213,3,20160824220036,1.60427552,42.5712762,-8.75,-105.5,2,2,,,300,70,23,10565
0d02cccef930fffff36c02cc8d480383fe0d918029a87d582492dc860c5e9892,213,3,20160824220038,1.5838752,42.5380509,-5.25,-100.5,0,0,,,300,241,21,10565
0d02cccef930fffff36c02cc8d480383fe0d918029a87d582492dc860c5e9892,213,3,20160824220040,1.5838752,42.5380509,-5.25,-100.5,0,0,,,300,241,21,10565
0d02cccef930fffff36c02cc8d480383fe0d918029a87d582492dc860c5e9892,213,3,20160824220042,1.5838752,42.5380509,-5.25,-100.5,0,0,,,300,241,21,10565
dff54e7883c9032034d7e75d8efc35e58947bd85f2116bfa11dc33136b0f5e23,213,3,20160824220004,1.5215646,42.5076974,-4.75,-62.5,0,0,,,300,457,21,10590
dff54e7883c9032034d7e75d8efc35e58947bd85f2116bfa11dc33136b0f5e23,213,3,20160824220006,1.5215646,42.5076974,-4.75,-62.5,0,0,,,300,457,21,10590
902b34cc40d84e08cafb0ccbe5312c64a4afab157985d7f1b8500179a9154fa4,213,3,20160824220159,1.53321243,42.5098598,-5.75,-88.5,0,0,3a32bbc50bd35590dd861cc6a94eb7bc24847d62eb5ca303054c549dfb089cf7,1363300,300,506,21,10590
